"locus_tag","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","product"
"SAOUHSC_00234",849.224513242267,-1.46566832640255,0.0982425927243863,-14.9188685452794,2.48450556191306e-50,3.66040198314147e-49,NA,"hypothetical protein"
"SAOUHSC_02226",1061.22414949348,-1.25823200535401,0.0852569287397254,-14.7581202367162,2.72778113711526e-49,3.9940104057021e-48,NA,"hypothetical protein"
"SAOUHSC_02741",992.56851563797,-1.26028509138452,0.0855053921967728,-14.7392469528032,3.60785263077184e-49,5.25020027005571e-48,NA,"amino acid ABC transporter permease"
"SAOUHSC_02821",578.563561294635,1.6366540054192,0.111794813091296,14.6398026899749,1.56521791157873e-48,2.25011932500894e-47,NA,"membrane spanning protein"
"SAOUHSC_01398",4534.20168997854,-1.00303279936321,0.0688269363717078,-14.5732594277655,4.15580133278961e-48,5.9027309948365e-47,NA,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase"
"SAOUHSC_02363",3645.94007832183,1.27276632821003,0.0874157941519168,14.5599126629009,5.0522307970951e-48,7.13326872066046e-47,NA,"aldehyde dehydrogenase"
"SAOUHSC_02900",1188.71990579868,1.140868573797,0.0784831099904428,14.5364852888211,7.11532882605661e-48,9.98672187893863e-47,NA,"hypothetical protein"
"SAOUHSC_01399",4139.25824687484,-1.02686363201478,0.0706439861556743,-14.5357543917742,7.19168623899447e-48,1.00345175052323e-46,NA,"hypothetical protein"
"SAOUHSC_00421",2735.47323333428,1.05538908048839,0.0727477243237344,14.5075202049181,1.08575268456157e-47,1.50608501039768e-46,NA,"hypothetical protein"
"SAOUHSC_01400",4117.7423338489,-1.10894086261605,0.0769014197592385,-14.4202911479125,3.857120115676e-47,5.25809707723188e-46,NA,"alanine racemase"
"SAOUHSC_02677",482.495078557121,-1.78543015304382,0.124059413591037,-14.3917345839592,5.83147901012304e-47,7.90415326400677e-46,NA,"hypothetical protein"
